Arquivo;Tempo de Execucao por Backtracking;Tempo de Execucao por Branch and Bound;Resultado
f10_l-d_kp_20_879;0.6238305568695068;0.003964424133300781;1025.0
f1_l-d_kp_10_269;0.0;0.0;295.0
f2_l-d_kp_20_878;0.5500950813293457;0.003998756408691406;1024.0
f3_l-d_kp_4_20;0.0;0.0;35.0
f4_l-d_kp_4_11;0.0;0.0;23.0
f5_l-d_kp_15_375;0.009000062942504883;0.0010018348693847656;481.069368
f6_l-d_kp_10_60;0.0010013580322265625;0.0010006427764892578;52.0
f7_l-d_kp_7_50;0.0;0.0;107.0
f8_l-d_kp_23_10000;2.5980818271636963;11.315016984939575;9767.0
f9_l-d_kp_5_80;0.0;0.0;130.0
